GC_Content	AT_Content	Sequence_Length	Num_A	Num_T	Num_C	Num_G	kmer_3_freq	Mutation_Flag	Class_Label	Disease_Risk	GC_AT_Sum	Risk_Level_Num
47.0	53.0	100	21	32	24	23	0.803	1	Human	Low	100.0	1
56.0	44.0	100	23	21	28	28	0.389	1	Human	High	100.0	3
51.0	49.0	100	25	24	25	26	0.413	0	Bacteria	Medium	100.0	2
50.0	50.0	100	25	25	20	30	0.106	1	Virus	High	100.0	3
48.0	52.0	100	30	22	24	24	0.368	0	Bacteria	Low	100.0	1
55.0	45.0	100	24	21	30	25	0.801	1	Virus	Medium	100.0	2
48.0	52.0	100	21	31	26	22	0.948	1	Plant	Low	100.0	1
44.0	56.0	100	29	27	19	25	0.194	1	Bacteria	High	100.0	3
52.0	48.0	100	26	22	21	31	0.961	1	Virus	Medium	100.0	2
42.0	58.0	100	32	26	19	23	0.24	1	Bacteria	High	100.0	3
55.0	45.0	100	22	23	23	32	0.65	0	Human	Medium	100.0	2
45.0	55.0	100	29	26	19	26	0.374	0	Human	Medium	100.0	2
56.0	44.0	100	19	25	25	31	0.598	0	Bacteria	Medium	100.0	2
55.0	45.0	100	25	20	24	31	0.684	1	Human	High	100.0	3
57.0	43.0	100	16	27	29	28	0.48	1	Virus	High	100.0	3
40.0	60.0	100	25	35	19	21	0.408	0	Plant	Medium	100.0	2
48.0	52.0	100	25	27	28	20	0.67	0	Human	High	100.0	3
41.0	59.0	100	37	22	14	27	0.101	0	Virus	Low	100.0	1
50.0	50.0	100	18	32	28	22	0.986	0	Human	High	100.0	3
50.0	50.0	100	27	23	29	21	0.865	0	Virus	Low	100.0	1
48.0	52.0	100	28	24	22	26	0.649	0	Human	Medium	100.0	2
53.0	47.0	100	18	29	30	23	0.683	1	Plant	Medium	100.0	2
47.0	53.0	100	23	30	20	27	0.893	1	Human	Medium	100.0	2
61.0	39.0	100	23	16	27	34	0.642	0	Plant	High	100.0	3
50.0	50.0	100	26	24	25	25	0.523	1	Plant	Low	100.0	1
49.0	51.0	100	24	27	24	25	0.137	1	Bacteria	High	100.0	3
42.0	58.0	100	30	28	14	28	0.743	1	Virus	Medium	100.0	2
53.0	47.0	100	24	23	28	25	0.223	0	Plant	Low	100.0	1
45.0	55.0	100	32	23	20	25	0.905	1	Bacteria	Medium	100.0	2
60.0	40.0	100	19	21	36	24	0.265	0	Human	High	100.0	3
52.0	48.0	100	19	29	28	24	0.458	1	Human	High	100.0	3
44.0	56.0	100	30	26	28	16	0.662	0	Virus	Low	100.0	1
41.0	59.0	100	31	28	21	20	0.323	1	Bacteria	Low	100.0	1
47.0	53.0	100	30	23	23	24	0.516	0	Virus	Medium	100.0	2
47.0	53.0	100	33	20	20	27	0.559	1	Plant	Medium	100.0	2
47.0	53.0	100	29	24	23	24	0.245	1	Human	Low	100.0	1
54.0	46.0	100	23	23	29	25	0.28	0	Human	Medium	100.0	2
44.0	56.0	100	23	33	22	22	0.469	1	Human	Low	100.0	1
55.0	45.0	100	25	20	25	30	0.414	0	Plant	Medium	100.0	2
55.0	45.0	100	22	23	25	30	0.562	0	Plant	High	100.0	3
55.0	45.0	100	21	24	23	32	0.125	1	Bacteria	High	100.0	3
46.0	54.0	100	28	26	24	22	0.977	1	Bacteria	Low	100.0	1
54.0	46.0	100	17	29	26	28	0.849	1	Virus	Low	100.0	1
54.0	46.0	100	22	24	29	25	0.145	1	Virus	Low	100.0	1
61.0	39.0	100	20	19	31	30	0.848	0	Virus	Medium	100.0	2
49.0	51.0	100	30	21	28	21	0.912	1	Bacteria	Low	100.0	1
43.0	57.0	100	28	29	18	25	0.997	1	Human	High	100.0	3
54.0	46.0	100	20	26	22	32	0.561	0	Plant	High	100.0	3
45.0	55.0	100	33	22	19	26	0.969	0	Virus	Medium	100.0	2
49.0	51.0	100	30	21	23	26	0.293	1	Bacteria	Low	100.0	1
59.0	41.0	100	23	18	30	29	0.528	1	Virus	Low	100.0	1
46.0	54.0	100	20	34	24	22	0.94	0	Virus	High	100.0	3
45.0	55.0	100	32	23	18	27	0.174	1	Virus	High	100.0	3
57.0	43.0	100	17	26	34	23	0.193	1	Human	Low	100.0	1
50.0	50.0	100	24	26	26	24	0.562	0	Virus	High	100.0	3
44.0	56.0	100	27	29	19	25	0.441	1	Virus	Low	100.0	1
61.0	39.0	100	27	12	26	35	0.165	1	Human	High	100.0	3
54.0	46.0	100	25	21	22	32	0.482	1	Plant	Low	100.0	1
49.0	51.0	100	21	30	22	27	0.253	1	Bacteria	Low	100.0	1
48.0	52.0	100	21	31	26	22	0.772	1	Plant	Low	100.0	1
49.0	51.0	100	30	21	24	25	0.833	0	Bacteria	High	100.0	3
58.0	42.0	100	19	23	27	31	0.428	1	Virus	Low	100.0	1
53.0	47.0	100	23	24	27	26	0.156	0	Bacteria	Low	100.0	1
55.0	45.0	100	23	22	29	26	0.626	1	Bacteria	High	100.0	3
55.0	45.0	100	20	25	27	28	0.911	1	Bacteria	High	100.0	3
44.0	56.0	100	27	29	16	28	0.709	0	Bacteria	Low	100.0	1
59.0	41.0	100	24	17	34	25	0.504	1	Plant	Medium	100.0	2
51.0	49.0	100	30	19	26	25	0.568	1	Virus	High	100.0	3
50.0	50.0	100	28	22	17	33	0.596	1	Bacteria	High	100.0	3
49.0	51.0	100	20	31	20	29	0.125	0	Bacteria	Medium	100.0	2
52.0	48.0	100	30	18	28	24	0.299	0	Virus	High	100.0	3
54.0	46.0	100	23	23	29	25	0.262	1	Plant	High	100.0	3
48.0	52.0	100	25	27	19	29	0.706	0	Human	Low	100.0	1
51.0	49.0	100	28	21	32	19	0.119	1	Virus	Medium	100.0	2
45.0	55.0	100	27	28	25	20	0.723	0	Virus	Low	100.0	1
42.0	58.0	100	33	25	20	22	0.207	1	Virus	Medium	100.0	2
53.0	47.0	100	19	28	26	27	0.315	0	Plant	Low	100.0	1
47.0	53.0	100	32	21	26	21	0.936	0	Virus	Medium	100.0	2
42.0	58.0	100	26	32	20	22	0.786	1	Plant	Low	100.0	1
41.0	59.0	100	32	27	20	21	0.133	0	Human	High	100.0	3
54.0	46.0	100	23	23	31	23	0.44	0	Human	Medium	100.0	2
45.0	55.0	100	30	25	23	22	0.863	0	Virus	Medium	100.0	2
43.0	57.0	100	29	28	19	24	0.946	0	Human	Low	100.0	1
56.0	44.0	100	23	21	29	27	0.991	1	Human	High	100.0	3
57.0	43.0	100	21	22	22	35	0.961	1	Bacteria	Low	100.0	1
42.0	58.0	100	38	20	16	26	0.874	1	Virus	Medium	100.0	2
42.0	58.0	100	34	24	19	23	0.4	0	Virus	Low	100.0	1
49.0	51.0	100	30	21	20	29	0.111	0	Virus	Low	100.0	1
48.0	52.0	100	29	23	21	27	0.471	0	Bacteria	Low	100.0	1
53.0	47.0	100	25	22	26	27	0.653	1	Bacteria	Medium	100.0	2
53.0	47.0	100	21	26	29	24	0.961	0	Bacteria	Medium	100.0	2
49.0	51.0	100	30	21	22	27	0.107	0	Human	High	100.0	3
44.0	56.0	100	29	27	24	20	0.643	0	Plant	Low	100.0	1
59.0	41.0	100	19	22	28	31	0.292	0	Virus	High	100.0	3
45.0	55.0	100	28	27	23	22	0.488	1	Plant	High	100.0	3
61.0	39.0	100	14	25	33	28	0.664	1	Bacteria	Medium	100.0	2
38.0	62.0	100	31	31	22	16	0.653	1	Virus	Medium	100.0	2
48.0	52.0	100	22	30	23	25	0.713	1	Bacteria	Medium	100.0	2
52.0	48.0	100	24	24	24	28	0.508	1	Plant	High	100.0	3
48.0	52.0	100	27	25	24	24	0.84	1	Plant	Low	100.0	1
34.0	66.0	100	33	33	22	12	0.902	0	Human	Medium	100.0	2
46.0	54.0	100	28	26	21	25	0.642	1	Virus	Low	100.0	1
52.0	48.0	100	20	28	34	18	0.217	1	Virus	Medium	100.0	2
46.0	54.0	100	25	29	17	29	0.871	1	Plant	High	100.0	3
53.0	47.0	100	25	22	25	28	0.948	1	Plant	Medium	100.0	2
45.0	55.0	100	28	27	21	24	0.849	1	Plant	High	100.0	3
62.0	38.0	100	22	16	31	31	0.826	1	Human	Medium	100.0	2
55.0	45.0	100	23	22	33	22	0.371	1	Bacteria	Low	100.0	1
57.0	43.0	100	20	23	21	36	0.978	1	Virus	Low	100.0	1
46.0	54.0	100	23	31	25	21	0.459	1	Human	Low	100.0	1
52.0	48.0	100	24	24	23	29	0.673	0	Plant	Low	100.0	1
48.0	52.0	100	24	28	24	24	0.355	1	Plant	Low	100.0	1
43.0	57.0	100	35	22	18	25	0.551	1	Human	Low	100.0	1
45.0	55.0	100	18	37	26	19	0.203	1	Human	Low	100.0	1
44.0	56.0	100	29	27	21	23	0.737	1	Virus	Medium	100.0	2
54.0	46.0	100	30	16	31	23	0.636	0	Human	Low	100.0	1
44.0	56.0	100	31	25	23	21	0.275	1	Plant	High	100.0	3
42.0	58.0	100	29	29	23	19	0.409	0	Virus	Low	100.0	1
50.0	50.0	100	25	25	25	25	0.264	1	Human	High	100.0	3
50.0	50.0	100	32	18	19	31	0.824	0	Plant	High	100.0	3
43.0	57.0	100	31	26	24	19	0.842	1	Bacteria	Medium	100.0	2
46.0	54.0	100	26	28	22	24	0.419	1	Bacteria	Medium	100.0	2
50.0	50.0	100	23	27	21	29	0.635	1	Plant	Medium	100.0	2
49.0	51.0	100	24	27	28	21	0.392	1	Plant	Low	100.0	1
54.0	46.0	100	15	31	27	27	0.916	0	Human	Medium	100.0	2
54.0	46.0	100	22	24	26	28	0.648	1	Virus	High	100.0	3
55.0	45.0	100	23	22	30	25	0.881	0	Bacteria	High	100.0	3
55.0	45.0	100	28	17	31	24	0.693	1	Plant	High	100.0	3
47.0	53.0	100	31	22	28	19	0.993	0	Bacteria	Low	100.0	1
45.0	55.0	100	19	36	22	23	0.382	0	Plant	Medium	100.0	2
44.0	56.0	100	33	23	22	22	0.215	1	Plant	High	100.0	3
44.0	56.0	100	29	27	23	21	0.517	1	Human	Low	100.0	1
43.0	57.0	100	25	32	23	20	0.225	0	Bacteria	Medium	100.0	2
45.0	55.0	100	29	26	24	21	0.293	0	Plant	Low	100.0	1
53.0	47.0	100	22	25	21	32	0.394	0	Bacteria	High	100.0	3
52.0	48.0	100	23	25	25	27	0.546	0	Bacteria	High	100.0	3
54.0	46.0	100	27	19	24	30	0.645	1	Human	Medium	100.0	2
43.0	57.0	100	37	20	24	19	0.349	0	Virus	High	100.0	3
49.0	51.0	100	20	31	19	30	0.818	0	Plant	High	100.0	3
52.0	48.0	100	25	23	23	29	0.115	1	Human	Medium	100.0	2
54.0	46.0	100	21	25	30	24	0.922	1	Plant	Low	100.0	1
55.0	45.0	100	22	23	29	26	0.471	0	Virus	Medium	100.0	2
52.0	48.0	100	23	25	30	22	0.149	1	Bacteria	High	100.0	3
44.0	56.0	100	28	28	17	27	0.861	0	Plant	Medium	100.0	2
41.0	59.0	100	33	26	23	18	0.974	0	Plant	High	100.0	3
48.0	52.0	100	29	23	24	24	0.246	1	Virus	Low	100.0	1
46.0	54.0	100	23	31	21	25	0.571	0	Human	Low	100.0	1
55.0	45.0	100	21	24	26	29	0.536	0	Plant	High	100.0	3
54.0	46.0	100	24	22	26	28	0.604	1	Virus	Low	100.0	1
52.0	48.0	100	26	22	25	27	0.222	0	Human	Medium	100.0	2
55.0	45.0	100	22	23	27	28	0.335	0	Virus	High	100.0	3
55.0	45.0	100	26	19	28	27	0.387	0	Human	High	100.0	3
53.0	47.0	100	31	16	32	21	0.951	0	Human	Low	100.0	1
60.0	40.0	100	17	23	30	30	0.253	1	Human	High	100.0	3
53.0	47.0	100	21	26	25	28	0.385	0	Plant	Medium	100.0	2
48.0	52.0	100	20	32	20	28	0.498	1	Human	Low	100.0	1
44.0	56.0	100	21	35	18	26	0.193	0	Plant	High	100.0	3
46.0	54.0	100	27	27	16	30	0.252	1	Human	Low	100.0	1
55.0	45.0	100	23	22	26	29	0.89	0	Human	High	100.0	3
46.0	54.0	100	25	29	20	26	0.211	0	Plant	Low	100.0	1
54.0	46.0	100	22	24	34	20	0.43	1	Bacteria	Medium	100.0	2
50.0	50.0	100	27	23	17	33	0.674	1	Bacteria	Medium	100.0	2
46.0	54.0	100	17	37	22	24	0.485	0	Bacteria	Medium	100.0	2
66.0	34.0	100	15	19	33	33	0.378	0	Plant	Medium	100.0	2
36.0	64.0	100	28	36	22	14	0.803	0	Bacteria	Low	100.0	1
51.0	49.0	100	32	17	36	15	0.138	1	Virus	High	100.0	3
58.0	42.0	100	19	23	35	23	0.151	0	Plant	Medium	100.0	2
53.0	47.0	100	22	25	28	25	0.882	0	Human	Low	100.0	1
45.0	55.0	100	26	29	27	18	0.268	1	Human	Low	100.0	1
54.0	46.0	100	22	24	23	31	0.424	0	Virus	Low	100.0	1
45.0	55.0	100	29	26	24	21	0.212	1	Human	Medium	100.0	2
41.0	59.0	100	26	33	17	24	0.311	0	Plant	Low	100.0	1
52.0	48.0	100	22	26	29	23	0.597	0	Plant	Low	100.0	1
50.0	50.0	100	20	30	24	26	0.447	0	Human	Medium	100.0	2
48.0	52.0	100	26	26	31	17	0.111	0	Human	Low	100.0	1
50.0	50.0	100	29	21	21	29	0.804	0	Human	Medium	100.0	2
59.0	41.0	100	26	15	33	26	0.791	0	Plant	Low	100.0	1
59.0	41.0	100	19	22	27	32	0.925	0	Bacteria	Medium	100.0	2
48.0	52.0	100	23	29	16	32	0.502	1	Bacteria	Low	100.0	1
51.0	49.0	100	26	23	27	24	0.97	0	Plant	Low	100.0	1
40.0	60.0	100	30	30	25	15	0.36	1	Virus	Medium	100.0	2
40.0	60.0	100	34	26	20	20	0.369	0	Bacteria	Low	100.0	1
47.0	53.0	100	24	29	21	26	0.919	0	Bacteria	High	100.0	3
59.0	41.0	100	27	14	33	26	0.465	0	Plant	High	100.0	3
59.0	41.0	100	15	26	29	30	0.404	0	Plant	Medium	100.0	2
48.0	52.0	100	24	28	25	23	0.151	1	Virus	High	100.0	3
46.0	54.0	100	26	28	22	24	0.315	1	Plant	Medium	100.0	2
43.0	57.0	100	28	29	18	25	0.57	1	Virus	Medium	100.0	2
57.0	43.0	100	21	22	30	27	0.298	0	Human	Low	100.0	1
49.0	51.0	100	23	28	26	23	0.493	0	Virus	Medium	100.0	2
60.0	40.0	100	16	24	21	39	0.457	0	Human	High	100.0	3
40.0	60.0	100	30	30	19	21	0.438	0	Plant	Low	100.0	1
54.0	46.0	100	22	24	30	24	0.109	1	Virus	Low	100.0	1
56.0	44.0	100	26	18	30	26	0.741	1	Human	High	100.0	3
45.0	55.0	100	34	21	25	20	0.154	0	Plant	High	100.0	3
50.0	50.0	100	32	18	25	25	0.856	0	Plant	High	100.0	3
53.0	47.0	100	17	30	23	30	0.249	1	Plant	Low	100.0	1
52.0	48.0	100	27	21	24	28	0.309	1	Virus	Low	100.0	1
47.0	53.0	100	28	25	23	24	0.582	0	Plant	High	100.0	3
54.0	46.0	100	20	26	31	23	0.93	0	Virus	Medium	100.0	2
58.0	42.0	100	21	21	28	30	0.623	1	Bacteria	Low	100.0	1
51.0	49.0	100	29	20	28	23	0.989	1	Plant	Medium	100.0	2
47.0	53.0	100	20	33	18	29	0.613	1	Plant	High	100.0	3
44.0	56.0	100	29	27	21	23	0.403	1	Bacteria	Medium	100.0	2
45.0	55.0	100	31	24	19	26	0.788	0	Bacteria	High	100.0	3
55.0	45.0	100	20	25	25	30	0.386	0	Plant	High	100.0	3
50.0	50.0	100	25	25	23	27	0.672	0	Human	Low	100.0	1
49.0	51.0	100	22	29	27	22	0.115	1	Bacteria	Medium	100.0	2
41.0	59.0	100	39	20	19	22	0.541	1	Virus	Low	100.0	1
46.0	54.0	100	27	27	22	24	0.461	0	Bacteria	Low	100.0	1
59.0	41.0	100	14	27	26	33	0.403	1	Plant	High	100.0	3
56.0	44.0	100	22	22	28	28	0.335	0	Plant	Low	100.0	1
47.0	53.0	100	28	25	25	22	0.311	0	Plant	Low	100.0	1
42.0	58.0	100	30	28	26	16	0.597	0	Human	High	100.0	3
54.0	46.0	100	25	21	27	27	0.168	1	Human	Medium	100.0	2
59.0	41.0	100	22	19	32	27	0.584	1	Virus	Medium	100.0	2
53.0	47.0	100	26	21	27	26	0.64	0	Human	Medium	100.0	2
46.0	54.0	100	22	32	20	26	0.455	1	Human	Medium	100.0	2
52.0	48.0	100	24	24	21	31	0.154	0	Human	High	100.0	3
54.0	46.0	100	23	23	29	25	0.167	0	Human	Low	100.0	1
56.0	44.0	100	26	18	28	28	0.954	0	Plant	Medium	100.0	2
52.0	48.0	100	23	25	26	26	0.87	1	Human	Medium	100.0	2
49.0	51.0	100	31	20	29	20	0.362	1	Plant	Low	100.0	1
52.0	48.0	100	25	23	23	29	0.99	0	Human	Low	100.0	1
49.0	51.0	100	30	21	30	19	0.51	1	Human	High	100.0	3
39.0	61.0	100	31	30	25	14	0.388	0	Virus	High	100.0	3
65.0	35.0	100	24	11	29	36	0.254	1	Human	Medium	100.0	2
42.0	58.0	100	36	22	24	18	0.772	1	Plant	High	100.0	3
59.0	41.0	100	17	24	42	17	0.919	0	Plant	High	100.0	3
50.0	50.0	100	23	27	24	26	0.169	1	Human	High	100.0	3
53.0	47.0	100	21	26	25	28	0.467	1	Virus	High	100.0	3
53.0	47.0	100	27	20	31	22	0.149	0	Plant	Medium	100.0	2
43.0	57.0	100	34	23	21	22	0.666	1	Human	Medium	100.0	2
53.0	47.0	100	26	21	27	26	0.3	1	Bacteria	High	100.0	3
55.0	45.0	100	25	20	29	26	0.813	0	Bacteria	Medium	100.0	2
48.0	52.0	100	22	30	27	21	0.635	0	Plant	High	100.0	3
48.0	52.0	100	26	26	31	17	0.34	1	Plant	Low	100.0	1
51.0	49.0	100	23	26	23	28	0.393	0	Bacteria	High	100.0	3
56.0	44.0	100	27	17	31	25	0.376	0	Plant	Low	100.0	1
49.0	51.0	100	26	25	22	27	0.605	1	Virus	High	100.0	3
47.0	53.0	100	23	30	19	28	0.725	0	Bacteria	Low	100.0	1
51.0	49.0	100	30	19	31	20	0.469	1	Plant	High	100.0	3
48.0	52.0	100	28	24	21	27	0.44	1	Human	High	100.0	3
43.0	57.0	100	28	29	27	16	0.708	1	Virus	High	100.0	3
50.0	50.0	100	23	27	26	24	0.631	1	Plant	Medium	100.0	2
48.0	52.0	100	27	25	30	18	0.745	1	Virus	Low	100.0	1
55.0	45.0	100	18	27	27	28	0.19	1	Plant	Medium	100.0	2
53.0	47.0	100	27	20	26	27	0.915	0	Bacteria	Medium	100.0	2
41.0	59.0	100	26	33	20	21	0.273	1	Virus	Low	100.0	1
56.0	44.0	100	21	23	26	30	0.97	0	Plant	Medium	100.0	2
45.0	55.0	100	27	28	22	23	0.697	1	Bacteria	High	100.0	3
50.0	50.0	100	27	23	26	24	0.453	1	Bacteria	High	100.0	3
53.0	47.0	100	25	22	29	24	0.519	0	Virus	High	100.0	3
47.0	53.0	100	24	29	21	26	0.271	1	Plant	Medium	100.0	2
53.0	47.0	100	19	28	25	28	0.662	1	Human	Medium	100.0	2
49.0	51.0	100	23	28	22	27	0.576	1	Human	High	100.0	3
51.0	49.0	100	20	29	34	17	0.188	1	Plant	High	100.0	3
49.0	51.0	100	24	27	22	27	0.649	0	Virus	Medium	100.0	2
57.0	43.0	100	21	22	28	29	0.299	1	Bacteria	High	100.0	3
54.0	46.0	100	18	28	23	31	0.737	0	Virus	Low	100.0	1
41.0	59.0	100	29	30	23	18	0.521	1	Virus	Low	100.0	1
42.0	58.0	100	28	30	22	20	0.163	1	Human	High	100.0	3
55.0	45.0	100	18	27	29	26	0.78	1	Bacteria	High	100.0	3
51.0	49.0	100	29	20	27	24	0.816	1	Human	Medium	100.0	2
43.0	57.0	100	22	35	25	18	0.456	0	Virus	Low	100.0	1
49.0	51.0	100	30	21	19	30	0.108	0	Plant	High	100.0	3
46.0	54.0	100	20	34	24	22	0.334	1	Human	High	100.0	3
52.0	48.0	100	25	23	26	26	0.717	0	Bacteria	Medium	100.0	2
51.0	49.0	100	28	21	28	23	0.544	0	Human	Medium	100.0	2
51.0	49.0	100	26	23	25	26	0.308	1	Plant	High	100.0	3
47.0	53.0	100	26	27	18	29	0.591	0	Virus	High	100.0	3
54.0	46.0	100	22	24	23	31	0.559	0	Virus	Low	100.0	1
46.0	54.0	100	26	28	21	25	0.497	0	Plant	Medium	100.0	2
54.0	46.0	100	22	24	25	29	0.967	1	Plant	Medium	100.0	2
49.0	51.0	100	24	27	24	25	0.385	1	Virus	Medium	100.0	2
45.0	55.0	100	31	24	23	22	0.485	1	Human	Low	100.0	1
47.0	53.0	100	26	27	25	22	0.6	1	Bacteria	Low	100.0	1
50.0	50.0	100	28	22	25	25	0.278	1	Human	High	100.0	3
47.0	53.0	100	32	21	30	17	0.531	0	Plant	Low	100.0	1
46.0	54.0	100	24	30	23	23	0.901	0	Virus	High	100.0	3
48.0	52.0	100	22	30	22	26	0.807	1	Bacteria	Medium	100.0	2
56.0	44.0	100	27	17	34	22	0.988	1	Virus	Medium	100.0	2
51.0	49.0	100	22	27	27	24	0.426	1	Bacteria	Low	100.0	1
56.0	44.0	100	27	17	31	25	0.954	0	Bacteria	High	100.0	3
44.0	56.0	100	30	26	26	18	0.195	1	Human	Medium	100.0	2
51.0	49.0	100	26	23	25	26	0.851	0	Virus	Medium	100.0	2
53.0	47.0	100	26	21	26	27	0.659	0	Bacteria	Low	100.0	1
64.0	36.0	100	21	15	33	31	0.274	1	Plant	Medium	100.0	2
59.0	41.0	100	24	17	31	28	0.634	1	Bacteria	High	100.0	3
53.0	47.0	100	23	24	24	29	0.42	0	Bacteria	Medium	100.0	2
50.0	50.0	100	28	22	23	27	0.728	0	Bacteria	High	100.0	3
48.0	52.0	100	22	30	20	28	0.487	0	Human	High	100.0	3
50.0	50.0	100	25	25	25	25	0.64	1	Virus	High	100.0	3
53.0	47.0	100	21	26	31	22	0.581	1	Virus	High	100.0	3
54.0	46.0	100	24	22	23	31	0.314	0	Human	Low	100.0	1
53.0	47.0	100	24	23	33	20	0.98	0	Plant	Low	100.0	1
52.0	48.0	100	27	21	22	30	0.579	1	Bacteria	Low	100.0	1
47.0	53.0	100	30	23	21	26	0.758	1	Bacteria	Low	100.0	1
48.0	52.0	100	27	25	23	25	0.171	0	Virus	High	100.0	3
42.0	58.0	100	32	26	17	25	0.909	0	Virus	Medium	100.0	2
51.0	49.0	100	21	28	18	33	0.482	0	Virus	Low	100.0	1
51.0	49.0	100	18	31	30	21	0.878	0	Plant	Low	100.0	1
55.0	45.0	100	23	22	29	26	0.309	1	Human	High	100.0	3
50.0	50.0	100	20	30	29	21	0.888	0	Plant	High	100.0	3
48.0	52.0	100	22	30	27	21	0.884	0	Bacteria	Medium	100.0	2
46.0	54.0	100	29	25	21	25	0.326	0	Bacteria	High	100.0	3
52.0	48.0	100	25	23	25	27	0.382	0	Human	Medium	100.0	2
57.0	43.0	100	24	19	36	21	0.244	1	Human	Medium	100.0	2
50.0	50.0	100	24	26	25	25	0.489	1	Human	Medium	100.0	2
51.0	49.0	100	24	25	29	22	0.306	0	Plant	Medium	100.0	2
54.0	46.0	100	20	26	20	34	0.248	1	Human	Low	100.0	1
55.0	45.0	100	24	21	23	32	0.72	0	Plant	Medium	100.0	2
48.0	52.0	100	24	28	27	21	0.923	1	Virus	Medium	100.0	2
45.0	55.0	100	31	24	22	23	0.226	1	Virus	Low	100.0	1
45.0	55.0	100	25	30	25	20	0.293	1	Human	High	100.0	3
39.0	61.0	100	30	31	20	19	0.409	1	Bacteria	Low	100.0	1
59.0	41.0	100	17	24	30	29	0.629	0	Human	Low	100.0	1
49.0	51.0	100	25	26	28	21	0.366	0	Virus	High	100.0	3
43.0	57.0	100	31	26	13	30	0.439	1	Virus	Low	100.0	1
52.0	48.0	100	24	24	26	26	0.195	1	Plant	Medium	100.0	2
40.0	60.0	100	27	33	26	14	0.23	0	Virus	Medium	100.0	2
52.0	48.0	100	23	25	25	27	0.771	0	Virus	Medium	100.0	2
44.0	56.0	100	28	28	23	21	0.39	1	Bacteria	Low	100.0	1
53.0	47.0	100	26	21	21	32	0.69	1	Bacteria	Low	100.0	1
50.0	50.0	100	26	24	23	27	0.405	1	Virus	Medium	100.0	2
50.0	50.0	100	27	23	26	24	0.432	1	Plant	High	100.0	3
44.0	56.0	100	26	30	21	23	0.269	0	Plant	High	100.0	3
58.0	42.0	100	21	21	28	30	0.463	0	Plant	Medium	100.0	2
40.0	60.0	100	34	26	15	25	0.303	0	Human	Low	100.0	1
54.0	46.0	100	23	23	27	27	0.572	1	Human	Medium	100.0	2
51.0	49.0	100	26	23	32	19	0.868	1	Plant	High	100.0	3
48.0	52.0	100	26	26	21	27	0.239	0	Plant	Low	100.0	1
53.0	47.0	100	18	29	29	24	0.494	1	Virus	Medium	100.0	2
49.0	51.0	100	31	20	21	28	0.142	1	Plant	High	100.0	3
48.0	52.0	100	20	32	24	24	0.454	1	Human	Low	100.0	1
43.0	57.0	100	28	29	23	20	0.121	1	Plant	High	100.0	3
51.0	49.0	100	27	22	26	25	0.792	0	Virus	Low	100.0	1
46.0	54.0	100	23	31	22	24	0.178	1	Human	Medium	100.0	2
50.0	50.0	100	26	24	30	20	0.802	0	Plant	Medium	100.0	2
39.0	61.0	100	33	28	20	19	0.543	0	Human	High	100.0	3
55.0	45.0	100	24	21	25	30	0.239	0	Virus	High	100.0	3
54.0	46.0	100	22	24	29	25	0.323	0	Bacteria	Low	100.0	1
53.0	47.0	100	23	24	15	38	0.693	1	Bacteria	Medium	100.0	2
50.0	50.0	100	23	27	30	20	0.743	1	Plant	Low	100.0	1
55.0	45.0	100	23	22	27	28	0.197	1	Bacteria	Medium	100.0	2
47.0	53.0	100	23	30	29	18	0.572	0	Plant	High	100.0	3
52.0	48.0	100	31	17	28	24	0.337	0	Human	Medium	100.0	2
49.0	51.0	100	28	23	17	32	0.41	0	Plant	High	100.0	3
53.0	47.0	100	21	26	28	25	0.342	0	Human	Low	100.0	1
55.0	45.0	100	24	21	37	18	0.578	1	Virus	Medium	100.0	2
56.0	44.0	100	20	24	27	29	0.319	0	Human	High	100.0	3
47.0	53.0	100	26	27	27	20	0.359	1	Plant	High	100.0	3
51.0	49.0	100	29	20	18	33	0.907	0	Plant	High	100.0	3
51.0	49.0	100	23	26	29	22	0.466	0	Virus	Medium	100.0	2
45.0	55.0	100	29	26	31	14	0.765	1	Plant	Medium	100.0	2
44.0	56.0	100	29	27	21	23	0.116	1	Bacteria	Medium	100.0	2
46.0	54.0	100	30	24	17	29	0.841	1	Plant	High	100.0	3
51.0	49.0	100	23	26	27	24	0.531	0	Virus	High	100.0	3
44.0	56.0	100	29	27	28	16	0.609	1	Bacteria	Low	100.0	1
51.0	49.0	100	26	23	22	29	0.888	0	Human	High	100.0	3
46.0	54.0	100	28	26	27	19	0.47	1	Bacteria	Low	100.0	1
50.0	50.0	100	21	29	29	21	0.925	1	Bacteria	Low	100.0	1
50.0	50.0	100	23	27	24	26	0.211	1	Bacteria	Medium	100.0	2
49.0	51.0	100	28	23	28	21	0.698	0	Virus	High	100.0	3
48.0	52.0	100	23	29	29	19	0.851	0	Bacteria	Low	100.0	1
52.0	48.0	100	26	22	31	21	0.663	0	Human	High	100.0	3
54.0	46.0	100	29	17	30	24	0.989	1	Bacteria	Low	100.0	1
52.0	48.0	100	24	24	31	21	0.45	1	Plant	Medium	100.0	2
52.0	48.0	100	22	26	27	25	0.49	0	Virus	Low	100.0	1
47.0	53.0	100	28	25	26	21	0.151	0	Bacteria	High	100.0	3
49.0	51.0	100	24	27	22	27	0.996	0	Bacteria	Medium	100.0	2
49.0	51.0	100	24	27	26	23	0.986	0	Human	Low	100.0	1
53.0	47.0	100	25	22	23	30	0.26	0	Virus	Low	100.0	1
